ID,Name_en,Name_ta,Name_hi,Description_en,Description_ta,Description_hi
1,Alambadi,அலம்பாடி,अलम्बाड़ी,"A hardy draught cattle breed from Tamil Nadu. Mainly used for ploughing and pulling carts in dry regions. Known for endurance, adaptability, and low maintenance.","தமிழ்நாட்டின் கடுமையான ஈழக் காளை இனம். முக்கியமாக புல்வெளி வேலை மற்றும் வண்டியூட்டில் பயன்படும். சகிப்புத்தன்மை, தகுதிச்சிறப்பு மற்றும் குறைந்த பராமரிப்பு.","तमिलनाडु का एक मजबूत खच्चर गाय प्रजाति। मुख्यतः हल चलाने और गाड़ी खींचने के लिए उपयोगी। सहनशीलता, अनुकूलता और कम रख-रखाव।"
2,Amritmahal,அம்ரித்மஹால்,अमृतमहल,"A strong draught breed from Karnataka. Used in agriculture and transport due to its stamina. Resilient to harsh climates and diseases.","கர்நாடகாவில் பலமான ஈழக் காளை இனம். வேளாண்மை மற்றும் போக்குவரத்தில் பயன்படும். கடுமையான வானிலை மற்றும் நோய்களுக்கு எதிர்ப்பு.","कर्नाटक का एक मजबूत खच्चर गाय प्रजाति। कृषि और परिवहन में उपयोगी। कठोर जलवायु और बीमारियों के प्रति लचीला।"
3,Ayrshire,ஏர்ஷயர்,एरशायर,"A dairy breed originating from Scotland. Medium-sized with excellent milk quality. Known for rich butterfat and protein content.","ஸ்காட்லாந்திலிருந்து வந்த பால்கருவான இனம். நடுத்தர அளவு, சிறந்த பால் தரம். பெரும் பால் கொழுப்பு மற்றும் புரத உள்ளடக்கம்.","स्कॉटलैंड से उत्पन्न डेयरी गाय। मध्यम आकार और उत्कृष्ट दूध गुणवत्ता। उच्च बटरफैट और प्रोटीन सामग्री।"
4,Banni,பன்னி,बन्नी,"An indigenous breed from Gujarat's Banni region. Adapted to arid climates with high milk yield. Highly resistant to heat and water scarcity.","குஜராத் பன்னி பிராந்தியத்திலிருந்து வந்த உள்ளூர் இனம். வெப்ப நிலைகளுக்கு மற்றும் குறைந்த நீர் உள்ள சூழ்நிலைக்கு தக்கது. அதிக பால் உற்பத்தி.","गुजरात के बन्नी क्षेत्र की स्थानीय गाय। शुष्क जलवायु के अनुकूल, उच्च दूध उत्पादन। गर्मी और पानी की कमी के प्रति अत्यधिक प्रतिरोधी।"
5,Bargur,பர்கூர்,बार्गुर,"A draught cattle breed from Tamil Nadu forests. Reddish-brown coat with white markings. Valued for strength and endurance in farming.","தமிழ்நாடு காடுகளிலிருந்து வரும் ஈழக் காளை இனம். சிவப்பு-பழுப்பு நிறம் மற்றும் வெள்ளை குறிகள். வேளாண்மை வலிமை மற்றும் சகிப்புத்தன்மை மதிப்பீடு.","तमिलनाडु के जंगलों से खच्चर गाय। लाल-भूरा रंग, सफेद धब्बे। कृषि में ताकत और सहनशक्ति के लिए मूल्यवान।"
6,Bhadawari,பதவாரி,भदावरी,"A buffalo breed from Uttar Pradesh. Renowned for high-fat milk production. Thrives in hot and dry conditions.","உத்தரப்பிரதேசத்தின் பசு இனம். அதிக கொழுப்பு கொண்ட பால் உற்பத்திக்குப் பிரசித்தி. சூடான மற்றும் உலர் சூழலில் வாழக்கூடியது.","उत्तर प्रदेश की भैंस प्रजाति। उच्च वसा वाला दूध उत्पादन। गर्म और शुष्क परिस्थितियों में उत्कृष्ट।"
7,Brown_Swiss,ப்ரவுன் சுவிஸ்,ब्राउन स्विस,"One of the oldest dairy breeds from Switzerland. Known for large milk volume and protein content. Calm temperament and adaptable to various climates.","சுவிட்சர்லாந்தின் பழமையான பால்கருவான இனங்களில் ஒன்று. அதிக பால் அளவு மற்றும் புரத உள்ளடக்கம். அமைதியான குணம் மற்றும் பல்வேறு வானிலை சூழ்நிலைகளுக்கு ஏற்றது.","स्विट्ज़रलैंड की सबसे पुरानी डेयरी गायों में से एक। बड़े दूध उत्पादन और प्रोटीन सामग्री के लिए जाना जाता है। शांत स्वभाव और विभिन्न जलवायु के अनुकूल।"
8,Dangi,டாங்கி,डांगी,"A draught cattle breed from Maharashtra. Works well in heavy rainfall and hilly terrain. Medium-sized, strong, and disease-resistant.","மகாராஷ்டிராவில் இருந்து வரும் ஈழக் காளை இனம். கனமழை மற்றும் மலைப்பகுதிகளில் நல்ல செயல்பாடு. நடுத்தர அளவு, வலிமை, நோய்களுக்கு எதிர்ப்பு.","महाराष्ट्र की खच्चर गाय। भारी वर्षा और पहाड़ी क्षेत्रों में अच्छा काम। मध्यम आकार, मजबूत और रोग-प्रतिरोधक।"
9,Deoni,டீஓனி,डीओनी,"A dual-purpose breed from Maharashtra. Used for both milk and draught work. Thrives in semi-arid and dry regions.","மஹாராஷ்டிராவில் இருந்து இரு நோக்குகளுக்கான இனம். பால் மற்றும் ஈழ வேலை இரண்டுக்கும் பயன்படுத்தப்படுகிறது. அரை உலர் மற்றும் உலர் பிராந்தியங்களில் வாழக்கூடியது.","महाराष्ट्र की दोहरे प्रयोजन वाली गाय। दूध और खींचने दोनों कामों में उपयोगी। अर्ध-शुष्क और शुष्क क्षेत्रों में अच्छी तरह बढ़ती है।"
10,Gir,கிர்,गिर,"A famous dairy breed from Gujarat. Gentle temperament and high-quality milk with A2 protein. Reduces disease susceptibility and adapts well to heat.","குஜராத் பிராந்தியத்தின் பிரபலமான பால்கருவான இனம். நெறிமுறை குணம் மற்றும் உயர்தர பால் (A2 புரதம்). நோய்களுக்கு எதிர்ப்பு மற்றும் வெப்பத்திற்கு ஏற்றது.","गुजरात की प्रसिद्ध डेयरी गाय। सौम्य स्वभाव और उच्च गुणवत्ता वाला दूध (A2 प्रोटीन)। रोग संवेदनशीलता कम और गर्मी में अनुकूल।"
11,Guernsey,கெர்ன்சி,ग्वेर्नसे,"A dairy breed from the Channel Islands. Produces golden-yellow milk rich in beta-carotene. Medium-sized and efficient in milk conversion.","சேனல் தீவுகளிலிருந்து வந்த பால்கருவான இனம். பொன்னிற பால், beta-கரோட்டின் ரீதியாக வளமானது. நடுத்தர அளவு, பால் மாற்றத்தில் திறமையானது.","चैनल द्वीपों की डेयरी गाय। सुनहरा पीला दूध, बीटा-कैरोटीन में समृद्ध। मध्यम आकार और दूध परिवर्तन में कुशल।"
12,Hallikar,ஹல்லிகார்,हाल्लिकार,"A draught breed from Mysore, Karnataka. Known for speed, strength, and endurance. Used in agriculture and cart-pulling tasks.","மிஸோர், கர்நாடகாவில் இருந்து வரும் ஈழக் காளை இனம். வேகம், வலிமை மற்றும் சகிப்புத்தன்மை மூலம் பிரசித்தி. வேளாண்மை மற்றும் வண்டி இழுத்தல்.","मैसूर, कर्नाटक की खच्चर गाय। गति, ताकत और सहनशक्ति के लिए प्रसिद्ध। कृषि और गाड़ी खींचने में उपयोगी।"
13,Hariana,ஹரியானா,हरियाणा,"From Haryana, a white-gray dual-purpose cattle. Valued for milk production and draught capability. Adaptable to hot, dry climates.","ஹரியானாவை சேர்ந்த வெள்ளை-சாம்பல் இரு நோக்கங்களுக்கான இனம். பால் உற்பத்தி மற்றும் ஈழ திறனுக்குப் மதிப்பு. சூடான உலர் வானிலைக்குப் பொருந்தக்கூடியது.","हरियाणा की सफेद-भूरी दोहरे प्रयोजन वाली गाय। दूध उत्पादन और खींचने की क्षमता के लिए मूल्यवान। गर्म, शुष्क जलवायु में अनुकूल।"
14,Holstein_Friesian,ஹோல்ஸ்டீன் ஃபிரீசியன்,होल्स्टीन फ्रिसियन,"Top dairy breed from the Netherlands. Black-and-white coat, highest milk yield among cattle. Requires good nutrition for optimal production.","நெதர்லாந்தின் சிறந்த பால்கருவான இனம். கருப்பு-வெள்ளை நிறம், அதிகபால் உற்பத்தி. சிறந்த உற்பத்திக்காக சிறந்த ஊட்டச்சத்து தேவை.","नीदरलैंड की शीर्ष डेयरी गाय। काला-सफ़ेद कोट, सबसे अधिक दूध उत्पादन। इष्टतम उत्पादन के लिए अच्छे पोषण की आवश्यकता।"
